OID_,Date,Station_Name,Station_Id,Reservoir_Storage_Volume__dam_3__Start_of_Day_Values,Elevation__ft_,Latitude,Longitude
245,3/3/1963 0:00:00,Navajo Reservoir,9109090,111039,6050,36.806420000000003,-107.609369999999998
246,3/4/1963 0:00:00,Navajo Reservoir,9109090,111290,6050,36.806420000000003,-107.609369999999998
247,3/5/1963 0:00:00,Navajo Reservoir,9109090,111794,6050,36.806420000000003,-107.609369999999998
248,3/6/1963 0:00:00,Navajo Reservoir,9109090,112045,6050,36.806420000000003,-107.609369999999998
249,3/7/1963 0:00:00,Navajo Reservoir,9109090,112297,6050,36.806420000000003,-107.609369999999998
250,3/8/1963 0:00:00,Navajo Reservoir,9109090,112297,6050,36.806420000000003,-107.609369999999998
251,3/9/1963 0:00:00,Navajo Reservoir,9109090,112297,6050,36.806420000000003,-107.609369999999998
252,3/10/1963 0:00:00,Navajo Reservoir,9109090,113303,6050,36.806420000000003,-107.609369999999998
253,3/11/1963 0:00:00,Navajo Reservoir,9109090,113555,6050,36.806420000000003,-107.609369999999998
254,3/12/1963 0:00:00,Navajo Reservoir,9109090,113555,6050,36.806420000000003,-107.609369999999998
255,3/13/1963 0:00:00,Navajo Reservoir,9109090,113807,6050,36.806420000000003,-107.609369999999998
256,3/14/1963 0:00:00,Navajo Reservoir,9109090,114310,6050,36.806420000000003,-107.609369999999998
257,3/15/1963 0:00:00,Navajo Reservoir,9109090,114562,6050,36.806420000000003,-107.609369999999998
258,3/16/1963 0:00:00,Navajo Reservoir,9109090,114813,6050,36.806420000000003,-107.609369999999998
259,3/17/1963 0:00:00,Navajo Reservoir,9109090,115065,6050,36.806420000000003,-107.609369999999998
260,3/18/1963 0:00:00,Navajo Reservoir,9109090,115316,6050,36.806420000000003,-107.609369999999998
