STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,DO-SSPop,DO-WGWTo,DO-WSWTo,DO-WTotl,DO-SSPCp,DO-PSDel,DO-WDelv,DO-ToPCp,,,,,,,,,,,,
35,1504,15040006,San Simon,1985,0.000,0.00,0.00,0.00,0.00,0.01,0.01,83.33,,,,,,,,,,,,
04,1504,15040006,San Simon,1985,0.000,0.21,0.00,0.21,,0.31,0.53,148.73,,,,,,,,,,,,
04,1504,15040007,San Carlos,1985,0.000,0.00,0.00,0.00,0.00,2.00,2.00,469.66,,,,,,,,,,,,
04,1505,15050100,Middle Gila,1985,22.180,1.80,0.00,1.80,73.00,30.10,31.90,184.54,,,,,,,,,,,,
04,1505,15050201,Willcox Playa,1985,6.970,1.20,0.00,1.20,154.00,0.87,2.07,182.09,,,,,,,,,,,,
04,1505,15050202,Upper San Pedro,1985,0.610,0.10,0.00,0.10,148.00,5.40,5.50,89.22,,,,,,,,,,,,
04,1505,15050203,Lower San Pedro,1985,1.200,0.20,0.00,0.20,150.00,1.04,1.24,70.97,,,,,,,,,,,,
04,1505,15050301,Upper Santa Cruz,1985,0.000,0.45,0.00,0.45,,36.68,37.13,86.19,,,,,,,,,,,,
04,1505,15050302,Rillito,1985,0.000,0.00,0.00,0.00,0.00,41.45,41.45,157.99,,,,,,,,,,,,
04,1505,15050303,Lower Santa Cruz,1985,15.510,1.70,0.00,1.70,98.00,9.57,11.28,264.67,,,,,,,,,,,,
04,1505,15050304,Brawley Wash,1985,0.000,0.00,0.00,0.00,0.00,13.84,13.84,788.13,,,,,,,,,,,,
04,1505,15050305,Aguirre Valley,1985,0.000,0.00,0.00,0.00,0.00,0.02,0.02,74.07,,,,,,,,,,,,
04,1505,15050306,Santa Rosa Wash,1985,0.000,0.00,0.00,0.00,0.00,0.25,0.25,56.56,,,,,,,,,,,,
04,1506,15060101,Black,1985,0.080,0.01,0.00,0.01,125.00,0.01,0.02,222.22,,,,,,,,,,,,
04,1506,15060102,White,1985,1.130,0.01,0.00,0.01,9.00,1.09,1.10,82.70,,,,,,,,,,,,
