STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-CUsFr,IR-CLoss,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IR-RecWW,SSEBop_CU
35,1508,15080303,Cloverdale,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
08,1401,14010001,Colorado Headwaters,1990,0.21,248.65,248.86,61.54,74.61,1.40,0.00,62.25,63.65,0.00,--
08,1401,14010002,Blue,1990,0.00,51.36,51.36,12.62,15.41,0.08,0.00,15.01,15.09,0.00,--
08,1401,14010003,Eagle,1990,0.38,106.64,107.02,26.53,32.02,0.76,0.00,16.13,16.89,0.00,--
08,1401,14010004,Roaring Fork,1990,0.67,206.65,207.32,49.22,62.04,1.27,0.00,31.55,32.82,0.00,--
08,1401,14010005,Colorado Headwaters-Plateau,1990,5.43,1226.90,1232.33,277.41,368.34,4.29,0.00,110.71,115.00,0.00,--
49,1401,14010005,Colorado Headwaters-Plateau,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
08,1401,14010006,Parachute-Roan,1990,0.44,74.84,75.28,18.57,22.48,0.32,0.00,6.64,6.96,0.00,--
08,1402,14020001,East-Taylor,1990,0.11,16.58,16.69,3.52,3.98,0.02,0.00,3.94,3.96,0.00,--
08,1402,14020002,Upper Gunnison,1990,1.48,309.87,311.35,62.93,74.43,0.39,0.00,46.82,47.21,0.00,--
08,1402,14020003,Tomichi,1990,0.33,106.86,107.19,23.26,25.66,0.04,0.00,24.53,24.57,0.00,--
08,1402,14020004,North Fork Gunnison,1990,1.28,311.28,312.56,68.29,74.77,0.29,0.00,29.20,29.49,0.00,--
08,1402,14020005,Lower Gunnison,1990,1.56,480.79,482.34,102.64,115.47,0.67,0.00,43.93,44.60,0.00,--
